"vegobjektid";"type_id";"versjonid";"startdato";"sistmodifisert";"Målestasjonsnummer";"Med-retning (fra)";"Mot-retning (fra)";"Kilde";"Registreringsnivå";"Trafikantgruppe";"Status";"Stedsnavn";"Antall kjørefelt";"Sist oppdatert fra NorTraf";"Prosjektreferanse";"Geometri, punkt";"kommune";"fylke";"region";"vegavdeling";"riksvegrute";"kontraktsområde";"vegreferanse";"fylkesnummer";"kommunenummer";"vegkategori";"vegstatus";"vegnummer";"fra hp";"til hp";"fra meter";"til meter";"stedfesting";"geometri";"srid"
"646465872";"482";"2";"2016-01-09";"2016-03-21T16:23:59";"300145";"Furuset";"Helsfyr";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"E6 Alnabru Sydgående Furuset Helsfyr";"3";"2016-01-09";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE6A 2010-2019,RUTE6A 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev6 hp51 m341";"3";"0";"E";"V";"6";"51";"51";"341";;"625649 0.0447739971543087 0.0447739971543087 WITH N/A ";"POINT Z (266921.17475 6650200.28924 88.96897)";"32633"
"646548958";"482";"4";"2015-12-03";"2016-02-08T13:13:17";"300152";"Alnabru";"Ulven";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"E6 Ulvensplitten Rampe Alnabru Teisen";"1";"2015-12-03";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE6A 2010-2019,RUTE6A 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev6 hp1 m21460";"3";"0";"E";"V";"6";"1";"1";"21460";;"625214 0.663456897788124 0.663456897788124 WITH N/A ";"POINT Z (265818.68119 6650243.36765 98.74684)";"32633"
"646548959";"482";"2";"2016-01-08";"2016-03-21T16:23:59";"300147";"Helsfyr";"Furuset";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"E6 Alnabru Nordgående Helsfyr Furuset";"3";"2016-01-08";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE6A 2010-2019,RUTE6A 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev6 hp51 m390";"3";"0";"E";"V";"6";"51";"51";"390";;"625649 0.0511980918984386 0.0511980918984386 WITH N/A ";"POINT Z (266876.77094 6650179.70892 89.19336)";"32633"
"646548960";"482";"2";"2015-11-28";"2018-02-01T14:35:58";"300149";"Teisen";"Økern";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Rv 150 Ulvensplitten Datterpunkt";"4";"2015-11-28";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE6A 2010-2019,RUTE6A 2014-2023";"0303 RIKSVEGER OSLO 2016-2021";"0300 Rv150 hp1 m320";"3";"0";"R";"V";"150";"1";"1";"320";;"625405 0.0327262210836435 0.0327262210836435 WITH N/A ";"POINT Z (265718.65666 6650201.96926 93.35499)";"32633"
"646548963";"482";"4";"2015-12-03";"2015-12-03T03:03:17";"300151";"Ulven";"Alnabru";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"E6 Ulvensplitten Rampe Økern Alnabru";"1";"2015-12-03";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE1 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev6 hp87 m34560";"3";"0";"E";"V";"6";"87";"87";"34560";;"625265 0.890414504403067 0.890414504403067 WITH N/A ";"POINT Z (265796.5757 6650230.72711 98.81678)";"32633"
"646548964";"482";"2";"2016-01-08";"2017-08-30T08:49:49";"300148";"Ulven";"Furuset";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"E6 Alnabru Nordgående Ulven Furuset";"2";"2016-01-08";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE1 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev6 hp1 m14080";"3";"0";"E";"V";"6";"1";"1";"14080";;"625213 0.906968233163353 0.906968233163353 WITH N/A ";"POINT Z (266909.58015 6650159.89861 92.83379)";"32633"
"646594315";"482";"2";"2015-12-03";"2015-12-03T03:03:09";"300154";"Alnabru";"Økern";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"E6 Ulvensplitten Rampe Alnabru Økern";"1";"2015-12-03";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE1 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev6 hp87 m43125";"3";"0";"E";"V";"6";"87";"87";"43125";;"625266 0.233917073337263 0.233917073337263 WITH N/A ";"POINT Z (265818.36033 6650254.86538 97.8)";"32633"
"646594316";"482";"2";"2016-01-07";"2016-03-21T16:23:59";"300164";"Helsfyr";"Sentrum";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"E6 Lodalen";"5";"2016-01-07";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE6A 2010-2019,RUTE6A 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev6 hp51 m4000";"3";"0";"E";"V";"6";"51";"51";"4000";;"625649 0.524512319244419 0.524512319244419 WITH N/A ";"POINT Z (264200.65263 6648134.65267 22.05254)";"32633"
"646594317";"482";"1";"2015-11-27";"2016-04-19T14:51:01";"300158";"Ulven / Helsfyr";"Furuset";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"E6 Alnabru Nordgående";"5";"2015-11-28";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE6A 2010-2019,RUTE6A 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev6 hp2 m120";"3";"0";"E";"V";"6";"2";"2";"120";;"625215 0.0112695156750095 0.0112695156750095 WITH N/A ";"POINT Z (267435.64275 6650221.11068 85.93617)";"32633"
"646594318";"482";"2";"2015-12-03";"2017-08-30T08:49:49";"300153";"Teisen";"Alnabru";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"E6 Ulvensplitten Rampe Teisen Alnabru";"1";"2015-12-03";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE1 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev6 hp1 m12950";"3";"0";"E";"V";"6";"1";"1";"12950";;"625213 0.675698642130536 0.675698642130536 WITH N/A ";"POINT Z (265796.81639 6650220.58561 98.34135)";"32633"
